CityType,EmployeeName,Date,Amount
Expensive City,Jack Aubrey,3/28/2012,73.08
Expensive City,Nathaniel Martin,3/28/2012,49.45
Inexpensive City,Sophia Aubrey,3/28/2012,15.63
Inexpensive City,Stephen Maturin,3/28/2012,26.92
Moderately Expensive City,William Mowett,3/28/2012,21.87
Inexpensive City,Jack Aubrey,3/29/2012,29.1
Inexpensive City,Nathaniel Martin,3/29/2012,21.05
Moderately Expensive City,William Babbington,3/29/2012,41.4
Expensive City,William Mowett,3/29/2012,58.98
Inexpensive City,Barret Bonden,3/30/2012,23.53
Inexpensive City,Diana Villiers,3/30/2012,21.89
Inexpensive City,Jack Aubrey,3/30/2012,29.59
Expensive City,Molly Harte,3/30/2012,127.84
Moderately Expensive City,Nathaniel Martin,3/30/2012,46.78
Expensive City,William Babbington,3/30/2012,26.76
Expensive City,Clarissa Oakes,4/2/2012,87.73
Inexpensive City,Emily Sweeting,4/2/2012,21.61
Inexpensive City,Jack Aubrey,4/2/2012,24.75
Moderately Expensive City,Sophia Aubrey,4/2/2012,58.5
Expensive City,Stephen Maturin,4/2/2012,92.55
Expensive City,William Mowett,4/2/2012,77.51
Expensive City,Barret Bonden,4/3/2012,100.45
Moderately Expensive City,Barret Bonden,4/3/2012,41.69
Expensive City,Diana Villiers,4/3/2012,70.89
Moderately Expensive City,Nathaniel Martin,4/3/2012,28.12
Expensive City,Stephen Maturin,4/3/2012,79.33
Expensive City,Clarissa Oakes,4/4/2012,77.9
Moderately Expensive City,Diana Villiers,4/4/2012,29.99
Expensive City,Molly Harte,4/4/2012,77.5
Moderately Expensive City,William Babbington,4/4/2012,45.09
Inexpensive City,William Babbington,4/4/2012,17.05
Inexpensive City,Clarissa Oakes,4/5/2012,19.46
Inexpensive City,Sophia Aubrey,4/5/2012,27.29
Inexpensive City,William Mowett,4/5/2012,23.88
Moderately Expensive City,Barret Bonden,4/9/2012,38.56
Expensive City,Barret Bonden,4/9/2012,68.08
Inexpensive City,Diana Villiers,4/9/2012,27.72
Inexpensive City,Emily Sweeting,4/9/2012,23.95
Moderately Expensive City,Molly Harte,4/9/2012,45.72
Expensive City,Sophia Aubrey,4/9/2012,100.7
Moderately Expensive City,Stephen Maturin,4/9/2012,46.22
Moderately Expensive City,Barret Bonden,4/10/2012,18.63
Moderately Expensive City,Diana Villiers,4/10/2012,49.62
Inexpensive City,Jack Aubrey,4/10/2012,16.65
Moderately Expensive City,Stephen Maturin,4/10/2012,24.18
Moderately Expensive City,William Mowett,4/10/2012,21.04
Moderately Expensive City,Diana Villiers,4/11/2012,40.71
Expensive City,Nathaniel Martin,4/11/2012,65.99
Inexpensive City,William Mowett,4/11/2012,17.38
Moderately Expensive City,Sophia Aubrey,4/12/2012,49.6
Inexpensive City,William Mowett,4/12/2012,28.81
Moderately Expensive City,Ebenezer Graham,4/13/2012,46.93
Inexpensive City,Sophia Aubrey,4/13/2012,12
Moderately Expensive City,Stephen Maturin,4/13/2012,30.02
Inexpensive City,William Babbington,4/13/2012,24.22
Moderately Expensive City,William Mowett,4/13/2012,34.15
Inexpensive City,Emily Sweeting,4/16/2012,27.52
Inexpensive City,Molly Harte,4/16/2012,26.1
Inexpensive City,Nathaniel Martin,4/16/2012,22.62
Moderately Expensive City,Stephen Maturin,4/16/2012,47
Expensive City,Stephen Maturin,4/16/2012,103.18
Moderately Expensive City,William Babbington,4/16/2012,52.39
Expensive City,Clarissa Oakes,4/17/2012,82.52
Moderately Expensive City,Jack Aubrey,4/17/2012,37.72
Inexpensive City,Molly Harte,4/17/2012,27.93
Inexpensive City,Ebenezer Graham,4/18/2012,17.68
Moderately Expensive City,Stephen Maturin,4/18/2012,28.25
Inexpensive City,Stephen Maturin,4/18/2012,21.53
Moderately Expensive City,Ebenezer Graham,4/19/2012,59.55
Moderately Expensive City,Emily Sweeting,4/19/2012,48.23
Moderately Expensive City,Molly Harte,4/19/2012,24.93
Expensive City,Barret Bonden,4/20/2012,97.11
Inexpensive City,Nathaniel Martin,4/20/2012,22.06
Moderately Expensive City,William Babbington,4/20/2012,53.97
Moderately Expensive City,Barret Bonden,4/23/2012,50.79
Moderately Expensive City,Diana Villiers,4/23/2012,31.83
Moderately Expensive City,William Mowett,4/23/2012,31.51
Moderately Expensive City,Clarissa Oakes,4/24/2012,38.09
Expensive City,Clarissa Oakes,4/24/2012,102.69
Moderately Expensive City,Diana Villiers,4/24/2012,15.16
Inexpensive City,Emily Sweeting,4/24/2012,24.75
Inexpensive City,Molly Harte,4/24/2012,19.92
Expensive City,Nathaniel Martin,4/24/2012,58.86
Inexpensive City,Barret Bonden,4/27/2012,20.77
Moderately Expensive City,Barret Bonden,4/27/2012,25.88
Expensive City,Clarissa Oakes,4/27/2012,71.8
Inexpensive City,Ebenezer Graham,4/27/2012,30.14
Moderately Expensive City,Molly Harte,4/27/2012,42.16
Moderately Expensive City,Nathaniel Martin,4/27/2012,34.35
Moderately Expensive City,William Mowett,4/27/2012,47.19
Inexpensive City,William Mowett,4/27/2012,31.29
Moderately Expensive City,Clarissa Oakes,4/30/2012,29.24
Inexpensive City,Nathaniel Martin,4/30/2012,21.53
Inexpensive City,Stephen Maturin,4/30/2012,25.76
Expensive City,Clarissa Oakes,5/1/2012,69.65
Inexpensive City,Emily Sweeting,5/1/2012,19.45
Expensive City,Diana Villiers,5/2/2012,123.08
Inexpensive City,Ebenezer Graham,5/2/2012,30.69
Expensive City,Jack Aubrey,5/2/2012,71.32
Expensive City,Molly Harte,5/2/2012,32.85
Expensive City,Nathaniel Martin,5/2/2012,107.77
Expensive City,Stephen Maturin,5/2/2012,101.06
Expensive City,Barret Bonden,5/3/2012,91.41
Expensive City,Clarissa Oakes,5/3/2012,75.12
Inexpensive City,Emily Sweeting,5/3/2012,20.55
Inexpensive City,William Mowett,5/3/2012,24.46
Inexpensive City,Molly Harte,5/4/2012,24.86
Inexpensive City,William Mowett,5/4/2012,24.75
Inexpensive City,Emily Sweeting,5/7/2012,16.52
Expensive City,William Babbington,5/7/2012,72.88
Expensive City,William Mowett,5/7/2012,62.3
Inexpensive City,Molly Harte,5/8/2012,19.46
Inexpensive City,Nathaniel Martin,5/8/2012,15.48
Moderately Expensive City,Nathaniel Martin,5/8/2012,38.87
Moderately Expensive City,Sophia Aubrey,5/8/2012,24.89
Moderately Expensive City,Stephen Maturin,5/8/2012,43.86
Expensive City,Stephen Maturin,5/8/2012,105.46
Moderately Expensive City,Jack Aubrey,5/9/2012,45
Inexpensive City,William Mowett,5/9/2012,28.87
Moderately Expensive City,William Mowett,5/9/2012,26.32
Expensive City,William Mowett,5/9/2012,74.33
Expensive City,Barret Bonden,5/11/2012,94
Inexpensive City,Clarissa Oakes,5/11/2012,23.56
Inexpensive City,Diana Villiers,5/11/2012,26.88
Inexpensive City,Ebenezer Graham,5/11/2012,19.59
Moderately Expensive City,Jack Aubrey,5/11/2012,45.35
Moderately Expensive City,Sophia Aubrey,5/11/2012,36.71
Inexpensive City,William Babbington,5/11/2012,30.71
Moderately Expensive City,Barret Bonden,5/14/2012,38.47
Expensive City,Diana Villiers,5/14/2012,72.32
Inexpensive City,William Mowett,5/14/2012,18.05
Moderately Expensive City,Clarissa Oakes,5/15/2012,50.26
Moderately Expensive City,Ebenezer Graham,5/15/2012,37.31
Inexpensive City,Molly Harte,5/15/2012,28.29
Moderately Expensive City,William Mowett,5/15/2012,37.78
Expensive City,Clarissa Oakes,5/16/2012,66.58
Moderately Expensive City,Diana Villiers,5/16/2012,37.26
Moderately Expensive City,Nathaniel Martin,5/18/2012,35.64
Moderately Expensive City,Stephen Maturin,5/18/2012,32.03
Moderately Expensive City,William Babbington,5/18/2012,48.32
Expensive City,William Babbington,5/18/2012,61.4
Inexpensive City,Diana Villiers,5/21/2012,19.58
Expensive City,Ebenezer Graham,5/21/2012,98.95
Moderately Expensive City,Molly Harte,5/21/2012,17.24
Moderately Expensive City,Nathaniel Martin,5/21/2012,32.29
Inexpensive City,Diana Villiers,5/22/2012,22.84
Moderately Expensive City,Jack Aubrey,5/22/2012,37.86
Expensive City,Nathaniel Martin,5/22/2012,74.28
Expensive City,Sophia Aubrey,5/22/2012,74.51
Moderately Expensive City,Molly Harte,5/23/2012,39.7
Inexpensive City,Stephen Maturin,5/23/2012,29.27
Moderately Expensive City,Clarissa Oakes,5/24/2012,43.79
Expensive City,Emily Sweeting,5/24/2012,112.37
Expensive City,Ebenezer Graham,5/25/2012,91.86
Expensive City,Emily Sweeting,5/25/2012,76.61
Inexpensive City,Sophia Aubrey,5/25/2012,21.66
Moderately Expensive City,Stephen Maturin,5/25/2012,45.58
Moderately Expensive City,William Babbington,5/25/2012,43.97
Expensive City,Barret Bonden,5/28/2012,68.27
Expensive City,Clarissa Oakes,5/28/2012,56.9
Expensive City,Sophia Aubrey,5/28/2012,90
Expensive City,William Babbington,5/28/2012,77.21
Inexpensive City,Diana Villiers,5/29/2012,22.32
Moderately Expensive City,Molly Harte,5/29/2012,26.5
Expensive City,Molly Harte,5/30/2012,95.21
Moderately Expensive City,Nathaniel Martin,5/30/2012,40.53
Expensive City,Sophia Aubrey,5/30/2012,118.18
Moderately Expensive City,Ebenezer Graham,6/1/2012,45.95
Moderately Expensive City,Nathaniel Martin,6/1/2012,34.39
Moderately Expensive City,Jack Aubrey,6/4/2012,34.26
Expensive City,Stephen Maturin,6/4/2012,74.91
Expensive City,William Babbington,6/4/2012,74.86
Expensive City,William Mowett,6/4/2012,90.91
Expensive City,Clarissa Oakes,6/5/2012,103.4
Moderately Expensive City,Diana Villiers,6/5/2012,49.21
Expensive City,Jack Aubrey,6/5/2012,101.66
Inexpensive City,Molly Harte,6/5/2012,24.06
Moderately Expensive City,Nathaniel Martin,6/5/2012,48.28
Inexpensive City,Jack Aubrey,6/6/2012,23.77
Moderately Expensive City,Sophia Aubrey,6/6/2012,38.14
Moderately Expensive City,Barret Bonden,6/7/2012,38.08
Expensive City,Diana Villiers,6/7/2012,85.1
Moderately Expensive City,Ebenezer Graham,6/7/2012,28.68
Moderately Expensive City,Jack Aubrey,6/7/2012,42.24
Moderately Expensive City,Nathaniel Martin,6/7/2012,37.4
Expensive City,Nathaniel Martin,6/8/2012,56.81
Expensive City,Sophia Aubrey,6/8/2012,58.37
Moderately Expensive City,Sophia Aubrey,6/8/2012,38.46
Moderately Expensive City,William Mowett,6/8/2012,48.31
Expensive City,William Mowett,6/8/2012,81.69
Expensive City,Barret Bonden,6/11/2012,83.52
Moderately Expensive City,Clarissa Oakes,6/11/2012,39.96
Expensive City,Clarissa Oakes,6/11/2012,81.9
Expensive City,Diana Villiers,6/11/2012,116.56
Moderately Expensive City,Emily Sweeting,6/11/2012,56.5
Expensive City,Molly Harte,6/11/2012,133.36
Inexpensive City,Barret Bonden,6/12/2012,17.1
Moderately Expensive City,Clarissa Oakes,6/12/2012,20.54
Moderately Expensive City,Molly Harte,6/12/2012,25.99
Expensive City,Molly Harte,6/12/2012,102.1
Expensive City,Nathaniel Martin,6/12/2012,80.46
Expensive City,William Mowett,6/12/2012,61.27
Moderately Expensive City,Emily Sweeting,6/13/2012,25.6
Expensive City,Nathaniel Martin,6/13/2012,97.81
Expensive City,Sophia Aubrey,6/13/2012,84.19
Expensive City,William Mowett,6/13/2012,60.08
Moderately Expensive City,Barret Bonden,6/15/2012,42.56
Moderately Expensive City,Emily Sweeting,6/15/2012,50.41
Moderately Expensive City,William Babbington,6/15/2012,40.02
Expensive City,Barret Bonden,6/18/2012,76.98
Expensive City,Diana Villiers,6/18/2012,107.23
Inexpensive City,Jack Aubrey,6/18/2012,26.84
Expensive City,Sophia Aubrey,6/18/2012,82.41
Expensive City,William Mowett,6/18/2012,51.74
Moderately Expensive City,Barret Bonden,6/19/2012,42.79
Moderately Expensive City,Emily Sweeting,6/19/2012,39.02
Inexpensive City,Emily Sweeting,6/19/2012,34.65
Inexpensive City,Jack Aubrey,6/19/2012,25.61
Moderately Expensive City,Sophia Aubrey,6/19/2012,31.3
Inexpensive City,Clarissa Oakes,6/20/2012,21.42
Inexpensive City,Molly Harte,6/20/2012,15.75
Expensive City,Nathaniel Martin,6/20/2012,94.39
Moderately Expensive City,Sophia Aubrey,6/20/2012,29.71
Inexpensive City,William Mowett,6/21/2012,26.61
Inexpensive City,Nathaniel Martin,6/22/2012,20.05
Expensive City,Nathaniel Martin,6/22/2012,55.91
Expensive City,William Babbington,6/22/2012,66.25
Inexpensive City,William Mowett,6/22/2012,23.6
Inexpensive City,Jack Aubrey,6/25/2012,25.95
Expensive City,Nathaniel Martin,6/25/2012,107.18
Expensive City,William Babbington,6/25/2012,59.23
Moderately Expensive City,William Babbington,6/25/2012,32.06
Inexpensive City,William Mowett,6/25/2012,22.42
Expensive City,Clarissa Oakes,6/26/2012,129.12
Expensive City,Diana Villiers,6/26/2012,89.91
Expensive City,Jack Aubrey,6/26/2012,80.67
Moderately Expensive City,Stephen Maturin,6/26/2012,34.32
Inexpensive City,Stephen Maturin,6/26/2012,31.11
Expensive City,William Mowett,6/26/2012,94.39
Expensive City,Ebenezer Graham,6/27/2012,83.02
Expensive City,Jack Aubrey,6/27/2012,70.42
Inexpensive City,William Babbington,6/27/2012,26.4
Expensive City,Clarissa Oakes,6/28/2012,82.33
Expensive City,Diana Villiers,6/28/2012,91.2
Expensive City,Clarissa Oakes,6/29/2012,93.77
Moderately Expensive City,Ebenezer Graham,6/29/2012,63.14
Inexpensive City,Emily Sweeting,6/29/2012,30.99
Moderately Expensive City,Molly Harte,6/29/2012,45.78
Expensive City,Barret Bonden,7/2/2012,95.29
Inexpensive City,Emily Sweeting,7/2/2012,18.1
Inexpensive City,Nathaniel Martin,7/2/2012,19.1
Moderately Expensive City,Barret Bonden,7/3/2012,44.79
Expensive City,Emily Sweeting,7/3/2012,95.33
Inexpensive City,Jack Aubrey,7/3/2012,36.16
Expensive City,Sophia Aubrey,7/3/2012,76.42
Expensive City,Ebenezer Graham,7/5/2012,92.03
Inexpensive City,Jack Aubrey,7/5/2012,23.62
Moderately Expensive City,Jack Aubrey,7/5/2012,49.72
Inexpensive City,Molly Harte,7/5/2012,26.67
Inexpensive City,Sophia Aubrey,7/5/2012,28.72
Expensive City,William Mowett,7/5/2012,135.33
Expensive City,Diana Villiers,7/6/2012,70.36
Expensive City,Ebenezer Graham,7/6/2012,82.88
Moderately Expensive City,William Babbington,7/6/2012,31.64
Expensive City,William Mowett,7/6/2012,81.38
Inexpensive City,Diana Villiers,7/9/2012,22.26
Expensive City,Molly Harte,7/9/2012,56.33
Moderately Expensive City,Sophia Aubrey,7/9/2012,40.92
Moderately Expensive City,Barret Bonden,7/10/2012,37.58
Moderately Expensive City,Diana Villiers,7/10/2012,39.09
Moderately Expensive City,Emily Sweeting,7/10/2012,40.29
Moderately Expensive City,Jack Aubrey,7/10/2012,34.53
Inexpensive City,Molly Harte,7/10/2012,28.06
Moderately Expensive City,Stephen Maturin,7/10/2012,39.33
Inexpensive City,Ebenezer Graham,7/11/2012,18.62
Moderately Expensive City,William Babbington,7/11/2012,41.49
Moderately Expensive City,Diana Villiers,7/12/2012,43.11
Expensive City,Nathaniel Martin,7/12/2012,69.9
Expensive City,Emily Sweeting,7/13/2012,98.21
Moderately Expensive City,Emily Sweeting,7/13/2012,49.81
Inexpensive City,Jack Aubrey,7/13/2012,28.31
Moderately Expensive City,Molly Harte,7/13/2012,29.99
Moderately Expensive City,Nathaniel Martin,7/13/2012,33.87
Expensive City,Nathaniel Martin,7/13/2012,94.3
Moderately Expensive City,Stephen Maturin,7/13/2012,34.64
Moderately Expensive City,Ebenezer Graham,7/16/2012,38.45
Inexpensive City,Jack Aubrey,7/16/2012,17.57
Moderately Expensive City,Sophia Aubrey,7/16/2012,24.57
Inexpensive City,William Mowett,7/16/2012,18.56
Inexpensive City,Barret Bonden,7/17/2012,28.19
Inexpensive City,Diana Villiers,7/17/2012,17.2
Expensive City,Jack Aubrey,7/17/2012,80.3
Inexpensive City,Nathaniel Martin,7/17/2012,16.09
Inexpensive City,William Mowett,7/17/2012,26.44
Moderately Expensive City,Barret Bonden,7/18/2012,41.31
Inexpensive City,Clarissa Oakes,7/18/2012,26.02
Moderately Expensive City,William Babbington,7/18/2012,43.92
Moderately Expensive City,Barret Bonden,7/19/2012,35.05
Inexpensive City,Barret Bonden,7/19/2012,27.08
Inexpensive City,Nathaniel Martin,7/19/2012,23.34
Inexpensive City,Barret Bonden,7/23/2012,28.48
Inexpensive City,Clarissa Oakes,7/23/2012,15.02
Expensive City,Clarissa Oakes,7/23/2012,104.85
Expensive City,Ebenezer Graham,7/23/2012,50.33
Moderately Expensive City,Ebenezer Graham,7/23/2012,36.71
Inexpensive City,Jack Aubrey,7/23/2012,26
Inexpensive City,Molly Harte,7/23/2012,27.33
Expensive City,Molly Harte,7/23/2012,95.26
Inexpensive City,Stephen Maturin,7/23/2012,23.63
Inexpensive City,Emily Sweeting,7/24/2012,27.34
Expensive City,Nathaniel Martin,7/24/2012,134.46
Moderately Expensive City,Stephen Maturin,7/24/2012,30.53
Expensive City,Barret Bonden,7/25/2012,103.76
Inexpensive City,Emily Sweeting,7/25/2012,32.85
Expensive City,Emily Sweeting,7/25/2012,75
Expensive City,Molly Harte,7/25/2012,109.96
Inexpensive City,Molly Harte,7/25/2012,21.42
Moderately Expensive City,Molly Harte,7/25/2012,43.96
Expensive City,Sophia Aubrey,7/25/2012,81.98
Expensive City,Stephen Maturin,7/25/2012,113.98
Expensive City,Molly Harte,7/26/2012,82.26
Expensive City,Nathaniel Martin,7/26/2012,54.34
Expensive City,William Mowett,7/26/2012,62.37
Expensive City,Molly Harte,7/27/2012,77.3
Expensive City,Sophia Aubrey,7/27/2012,61.95
Inexpensive City,Sophia Aubrey,7/27/2012,36.52
Expensive City,Stephen Maturin,7/27/2012,78.14
Inexpensive City,Barret Bonden,7/30/2012,17.31
Inexpensive City,Clarissa Oakes,7/30/2012,24.14
Inexpensive City,Molly Harte,7/30/2012,22.16
Moderately Expensive City,Molly Harte,7/30/2012,28.86
Inexpensive City,Nathaniel Martin,7/30/2012,25.55
Inexpensive City,Sophia Aubrey,7/30/2012,31.94
Inexpensive City,Stephen Maturin,7/30/2012,22.2
Moderately Expensive City,Barret Bonden,7/31/2012,50.15
Expensive City,Diana Villiers,7/31/2012,73.86
Moderately Expensive City,Ebenezer Graham,7/31/2012,37.13
Inexpensive City,Molly Harte,7/31/2012,20.63
Moderately Expensive City,Sophia Aubrey,7/31/2012,32.29
Moderately Expensive City,Diana Villiers,8/1/2012,41.75
Inexpensive City,William Mowett,8/1/2012,18.74
Expensive City,Barret Bonden,8/2/2012,75.5
Expensive City,Diana Villiers,8/2/2012,107.94
Inexpensive City,Diana Villiers,8/2/2012,22.82
Expensive City,Ebenezer Graham,8/2/2012,82.47
Expensive City,Jack Aubrey,8/2/2012,59.44
Moderately Expensive City,Molly Harte,8/2/2012,40.18
Expensive City,Nathaniel Martin,8/2/2012,74.28
Inexpensive City,Stephen Maturin,8/2/2012,19.7
Moderately Expensive City,Clarissa Oakes,8/3/2012,60.03
Expensive City,Nathaniel Martin,8/3/2012,86.33
Expensive City,Stephen Maturin,8/3/2012,88.32
Moderately Expensive City,Diana Villiers,8/6/2012,32.04
Inexpensive City,Jack Aubrey,8/6/2012,22.54
Moderately Expensive City,Molly Harte,8/6/2012,18.33
Expensive City,Nathaniel Martin,8/6/2012,100.86
Expensive City,Stephen Maturin,8/6/2012,103.68
Expensive City,William Babbington,8/6/2012,86.34
Inexpensive City,William Babbington,8/6/2012,21.68
Inexpensive City,Barret Bonden,8/7/2012,28.52
Inexpensive City,William Babbington,8/7/2012,28.79
Expensive City,William Mowett,8/7/2012,114.08
Inexpensive City,Ebenezer Graham,8/8/2012,20.06
Inexpensive City,William Mowett,8/8/2012,15.22
Moderately Expensive City,Ebenezer Graham,8/9/2012,41.13
Inexpensive City,Jack Aubrey,8/9/2012,20.42
Expensive City,William Mowett,8/10/2012,75.68
Inexpensive City,Barret Bonden,8/14/2012,22.12
Expensive City,Diana Villiers,8/14/2012,61.06
Expensive City,Ebenezer Graham,8/14/2012,94.39
Moderately Expensive City,Emily Sweeting,8/14/2012,45.4
Moderately Expensive City,Molly Harte,8/14/2012,46.28
Inexpensive City,Emily Sweeting,8/15/2012,28.06
Moderately Expensive City,Jack Aubrey,8/15/2012,50.46
Moderately Expensive City,Sophia Aubrey,8/15/2012,47.4
Inexpensive City,William Babbington,8/15/2012,25.67
Moderately Expensive City,William Babbington,8/15/2012,42.77
Expensive City,William Babbington,8/15/2012,90.26
Expensive City,Barret Bonden,8/16/2012,82.29
Moderately Expensive City,Ebenezer Graham,8/16/2012,27.09
Expensive City,Nathaniel Martin,8/16/2012,72.77
Expensive City,Diana Villiers,8/17/2012,107.57
Inexpensive City,Jack Aubrey,8/17/2012,16.14
Inexpensive City,Sophia Aubrey,8/17/2012,20.05
Inexpensive City,William Mowett,8/17/2012,23.89
Expensive City,Clarissa Oakes,8/20/2012,92.22
Expensive City,Diana Villiers,8/20/2012,55.24
Inexpensive City,Stephen Maturin,8/20/2012,25.91
Moderately Expensive City,William Babbington,8/20/2012,44.87
Moderately Expensive City,Clarissa Oakes,8/21/2012,38.67
Expensive City,Emily Sweeting,8/21/2012,65.5
Inexpensive City,Molly Harte,8/21/2012,29
Inexpensive City,Stephen Maturin,8/21/2012,25.24
Expensive City,Stephen Maturin,8/21/2012,127.83
Expensive City,William Babbington,8/21/2012,68.97
Expensive City,Clarissa Oakes,8/22/2012,95.91
Expensive City,Nathaniel Martin,8/22/2012,96.41
Inexpensive City,Barret Bonden,8/23/2012,19.7
Expensive City,Diana Villiers,8/23/2012,105.66
Expensive City,Ebenezer Graham,8/23/2012,98.88
Expensive City,Emily Sweeting,8/23/2012,69.56
Expensive City,Molly Harte,8/23/2012,122.12
Expensive City,Nathaniel Martin,8/23/2012,83.78
Moderately Expensive City,Barret Bonden,8/24/2012,23.25
Inexpensive City,Barret Bonden,8/24/2012,22.36
Inexpensive City,Ebenezer Graham,8/24/2012,23.06
Expensive City,Jack Aubrey,8/24/2012,93.55
Moderately Expensive City,Molly Harte,8/24/2012,40.32
Moderately Expensive City,William Babbington,8/24/2012,28.89
Inexpensive City,Emily Sweeting,8/27/2012,24.52
Inexpensive City,Nathaniel Martin,8/27/2012,20.44
Moderately Expensive City,Barret Bonden,8/28/2012,34.79
Expensive City,Nathaniel Martin,8/28/2012,59.47
Inexpensive City,William Babbington,8/28/2012,16.25
Expensive City,William Mowett,8/28/2012,79.44
Expensive City,Diana Villiers,8/29/2012,107.14
Expensive City,Nathaniel Martin,8/29/2012,89.04
Inexpensive City,Sophia Aubrey,8/29/2012,20.46
Expensive City,William Mowett,8/29/2012,95.58
Inexpensive City,Barret Bonden,8/30/2012,31.98
Moderately Expensive City,Diana Villiers,8/30/2012,42.75
Expensive City,Stephen Maturin,8/30/2012,113.13
Inexpensive City,Stephen Maturin,8/30/2012,19.02
Expensive City,Clarissa Oakes,8/31/2012,115.87
Expensive City,Diana Villiers,8/31/2012,100.75
Moderately Expensive City,Diana Villiers,8/31/2012,45.41
Expensive City,Ebenezer Graham,8/31/2012,99.68
Inexpensive City,Emily Sweeting,8/31/2012,30.17
Moderately Expensive City,Jack Aubrey,8/31/2012,46.06
Expensive City,Nathaniel Martin,8/31/2012,79.15
Inexpensive City,Stephen Maturin,8/31/2012,25.27
Inexpensive City,William Mowett,8/31/2012,31.51
Moderately Expensive City,William Mowett,8/31/2012,37.71
Expensive City,Emily Sweeting,9/4/2012,90.03
Inexpensive City,Jack Aubrey,9/4/2012,22.87
Moderately Expensive City,William Babbington,9/4/2012,44.89
Inexpensive City,William Mowett,9/4/2012,25.87
Inexpensive City,Clarissa Oakes,9/5/2012,22.49
Inexpensive City,Diana Villiers,9/5/2012,26.4
Inexpensive City,Emily Sweeting,9/5/2012,31.74
Moderately Expensive City,Emily Sweeting,9/5/2012,49.44
Inexpensive City,Stephen Maturin,9/5/2012,22.51
Inexpensive City,Nathaniel Martin,9/6/2012,25.58
Moderately Expensive City,Barret Bonden,9/7/2012,36.33
Inexpensive City,Jack Aubrey,9/7/2012,23.43
Moderately Expensive City,Stephen Maturin,9/7/2012,40.69
Moderately Expensive City,Diana Villiers,9/10/2012,62.01
Expensive City,Diana Villiers,9/10/2012,72.03
Inexpensive City,Emily Sweeting,9/10/2012,32.42
Moderately Expensive City,Nathaniel Martin,9/10/2012,32.72
Expensive City,Nathaniel Martin,9/11/2012,56.33
Inexpensive City,Sophia Aubrey,9/11/2012,26.74
Expensive City,Barret Bonden,9/12/2012,87.93
Inexpensive City,Clarissa Oakes,9/12/2012,35.99
Moderately Expensive City,Diana Villiers,9/12/2012,43.33
Expensive City,Nathaniel Martin,9/12/2012,89.02
Moderately Expensive City,Stephen Maturin,9/12/2012,55.72
Moderately Expensive City,William Mowett,9/12/2012,50.55
Expensive City,Barret Bonden,9/13/2012,73.01
Expensive City,Clarissa Oakes,9/13/2012,84.24
Inexpensive City,Diana Villiers,9/13/2012,20.66
Expensive City,Emily Sweeting,9/13/2012,103.3
Inexpensive City,Molly Harte,9/13/2012,31.9
Inexpensive City,Nathaniel Martin,9/13/2012,28.41
Moderately Expensive City,Stephen Maturin,9/13/2012,58.37
Inexpensive City,William Mowett,9/14/2012,22.04
Expensive City,William Mowett,9/14/2012,97.17
Expensive City,Diana Villiers,9/18/2012,98.48
Inexpensive City,Emily Sweeting,9/18/2012,31.26
Inexpensive City,Nathaniel Martin,9/18/2012,23.76
Expensive City,Nathaniel Martin,9/18/2012,97.94
Moderately Expensive City,Stephen Maturin,9/18/2012,44.81
Moderately Expensive City,William Mowett,9/18/2012,43.22
Expensive City,Barret Bonden,9/19/2012,98.79
Expensive City,Diana Villiers,9/19/2012,89.84
Moderately Expensive City,Diana Villiers,9/19/2012,66.37
Inexpensive City,Molly Harte,9/19/2012,34.07
Expensive City,William Babbington,9/19/2012,116.64
Expensive City,William Mowett,9/19/2012,92.36
Inexpensive City,Emily Sweeting,9/20/2012,25.88
Expensive City,William Mowett,9/20/2012,83.57
Inexpensive City,Clarissa Oakes,9/21/2012,19.05
Expensive City,Diana Villiers,9/21/2012,67.08
Inexpensive City,Ebenezer Graham,9/21/2012,26.28
Expensive City,Jack Aubrey,9/21/2012,69.66
Moderately Expensive City,Molly Harte,9/21/2012,45.51
Expensive City,Molly Harte,9/21/2012,64.5
Moderately Expensive City,William Mowett,9/21/2012,46.12
Moderately Expensive City,Barret Bonden,9/24/2012,51.72
Expensive City,Ebenezer Graham,9/24/2012,105.87
Expensive City,Ebenezer Graham,9/25/2012,80.48
Moderately Expensive City,Sophia Aubrey,9/25/2012,31.65
Moderately Expensive City,Stephen Maturin,9/25/2012,46.83
Moderately Expensive City,William Mowett,9/25/2012,31.31
Moderately Expensive City,Barret Bonden,9/27/2012,18.5
Expensive City,Molly Harte,9/27/2012,123.44
Expensive City,Sophia Aubrey,9/27/2012,75.8
Expensive City,Barret Bonden,9/28/2012,78.02
Inexpensive City,Emily Sweeting,9/28/2012,22.08
Expensive City,Jack Aubrey,9/28/2012,92.03
Moderately Expensive City,Molly Harte,9/28/2012,45.4
Inexpensive City,William Babbington,9/28/2012,29.39
Expensive City,Diana Villiers,10/2/2012,72.06
Inexpensive City,Emily Sweeting,10/2/2012,14.99
Expensive City,Molly Harte,10/2/2012,71.61
Moderately Expensive City,Stephen Maturin,10/2/2012,46.34
Expensive City,Diana Villiers,10/3/2012,113.66
Inexpensive City,Nathaniel Martin,10/3/2012,22.1
Inexpensive City,Barret Bonden,10/4/2012,25.43
Inexpensive City,Clarissa Oakes,10/4/2012,17.64
Expensive City,Diana Villiers,10/4/2012,83.24
Moderately Expensive City,Nathaniel Martin,10/4/2012,38.87
